name;price;socket;form_factor;max_memory;memory_slots;color
Gigabyte B550 AORUS ELITE AX V2;159.99;AM4;ATX;128;4;Black / Silver
MSI B450-A PRO MAX;159;AM4;ATX;64;4;Brown / Black
ASRock X570 Taichi;365.56;AM4;ATX;128;4;Black / Silver
ASRock X470 Taichi Ultimate;429.99;AM4;ATX;64;4;Silver / Black
NZXT N7 B650E;289.99;AM5;ATX;128;4;Black
ASRock X670E PG Lightning;229.99;AM5;ATX;192;4;Black
ASRock B650 PG LIGHTNING;199.99;AM5;ATX;192;4;Black
Asus Z97 PRO GAMER;596.61;LGA1150;ATX;32;4;Black / Red
Gigabyte Z390 AORUS PRO WIFI;379.79;LGA1151;ATX;128;4;Black / Silver
Asus ROG MAXIMUS XI HERO (WI-FI);545.78;LGA1151;ATX;128;4;Black
Supermicro MBD-X11SAE-F-O;349;LGA1151;ATX;64;4;Black / Green
Supermicro MBD-C7P67-O;599.99;LGA1155;ATX;32;4;Green / Black
MSI MPG Z490 GAMING PLUS;155.24;LGA1200;ATX;128;4;Black / Silver
Asus ROG MAXIMUS XII HERO (WI-FI);636;LGA1200;ATX;128;4;Black
MSI MEG Z490 UNIFY;350;LGA1200;ATX;128;4;Black / Silver
MSI MEG Z490 ACE;398;LGA1200;ATX;128;4;Black / Gold
Gigabyte GA-X58A-UD7;515;LGA1366;ATX;24;6;Blue / White
MSI PRO Z790-P WIFI;201.99;LGA1700;ATX;192;4;Black / Silver
Asus ROG MAXIMUS Z790 HERO;549.99;LGA1700;ATX;192;4;Black
Asus PRIME Z790-P WIFI;203;LGA1700;ATX;192;4;Black / Silver
ASRock Z790 Steel Legend WiFi;277.99;LGA1700;ATX;192;4;Silver / Black
NZXT N5 Z690;238.99;LGA1700;ATX;128;4;Black / White
ASRock Z790 Pro RS/D4;202.99;LGA1700;ATX;128;4;Silver / Black
Asus ROG MAXIMUS Z690 FORMULA;665.98;LGA1700;ATX;192;4;Silver / Black
Asus ROG MAXIMUS Z690 APEX;1095;LGA1700;ATX;96;2;Black / Silver
Supermicro X9SRH-7TF;794.99;LGA2011;ATX;64;8;Green / Blue
Supermicro C7X99-OCE-O;700;LGA2011-3;ATX;128;8;Black / Blue
Supermicro MBD-X10SRL-F-O;511.84;LGA2011-3 Narrow;ATX;1024;8;Black / Green
ASRock X299 Steel Legend;327.58;LGA2066;ATX;256;8;Silver / Black
Supermicro C9X299-PGF;889.99;LGA2066;ATX;128;8;Black
Asus WS X299 PRO;583.4;LGA2066;ATX;128;8;Black / Silver
ASRock X399 Taichi;599.99;sTR4;ATX;128;8;Black / Silver
Supermicro MBD-X10DRI-O;657;2 x LGA2011-3 Narrow;EATX;1024;16;Black / Green
Asus ROG ZENITH EXTREME ALPHA;1099.99;sTR4;EATX;128;8;Black
Asus ROG ZENITH II EXTREME ALPHA;2059;sTRX4;EATX;256;8;Black / Silver
ASRock 970M PRO3;99.99;AM3+/AM3;Micro ATX;64;4;Black
Asus ROG CROSSHAIR X670E GENE;520.32;AM5;Micro ATX;96;2;Black / Silver
MSI A68HM-GRENADE;394.02;FM2+;Micro ATX;32;2;Brown / Black
Supermicro A1SRI-2758F-O;499.95;Integrated Atom C2358;Mini ITX;16;2;Black / Green
Intel D525MW;148.02;Integrated Atom D525;Mini ITX;4;2;Green / Black
Supermicro MBD-X11SBA-LN4F-O;365;Integrated Pentium N3700;Mini ITX;8;2;Green
