name;price;capacity;type;spd;score
Samsung 980 Pro;129.99;2000;SSD;10000;100
Samsung 970 Evo Plus;89.99;1000;SSD;10000;91.66666667
Seagate Barracuda Compute;57.99;2000;7200;7200;76.66666667
Samsung 990 Pro;249.99;4000;SSD;10000;116.6666667
Mushkin Source HC;2766.99;16000;SSD;10000;216.6666667
Samsung 970 Evo Plus;49.99;500;SSD;10000;87.5
Samsung 990 Pro;79.98;1000;SSD;10000;91.66666667
Seagate BarraCuda;74.99;4000;5400;5400;78.33333333
Crucial P3;29.99;500;SSD;10000;87.5
Western Digital Black SN770;99.99;2000;SSD;10000;100
Sabrent Rocket 4 Plus;879.99;8000;SSD;10000;150
Seagate BarraCuda;43.98;1000;7200;7200;68.33333333
Western Digital Green SN350;54.83;960;SSD;10000;91.33333333
Samsung 980 Pro;79.97;500;SSD;10000;87.5
Kingston A400;27.99;240;SSD;10000;85.33333333
Samsung 870 Evo;47.91;500;SSD;10000;87.5
Kingston A400;35.99;480;SSD;10000;87.33333333
Seagate BarraCuda;67;2000;7200;7200;76.66666667
Seagate Desktop HDD;89;4000;5900;5900;82.5
Western Digital Blue;129.99;8000;5640;5640;113.6666667
TEAMGROUP MP33 PRO;47.99;1000;SSD;10000;91.66666667
Western Digital AV-GP;24.98;1000;5400;5400;53.33333333
Western Digital WD_BLACK;179.99;8000;7200;7200;126.6666667
